台番号,角,角2,角3,円卓,奇数,偶数
281,1,0,0,0,1,0
282,0,1,0,0,0,1
283,0,0,1,0,1,0
284,0,0,0,0,0,1
285,0,0,0,0,1,0
286,0,0,0,0,0,1
287,0,0,0,0,1,0
288,0,0,0,0,0,1
289,0,0,0,0,1,0
290,0,0,0,0,0,1
291,0,0,0,0,1,0
292,0,0,0,0,0,1
293,0,0,0,0,1,0
294,0,0,0,0,0,1
295,0,0,0,0,1,0
296,0,0,0,0,1,0
297,0,0,0,0,0,1
298,0,0,1,0,1,0
299,0,1,0,0,0,1
300,1,0,0,0,1,0
301,1,0,0,0,0,1
302,0,1,0,0,1,0
303,0,0,1,0,0,1
304,0,0,0,0,1,0
305,0,0,0,0,0,1
306,0,0,0,0,1,0
307,0,0,0,0,0,1
308,0,0,0,0,1,0
309,0,0,0,0,0,1
310,0,0,0,0,1,0
311,0,0,0,0,1,0
312,0,0,0,0,0,1
313,0,0,0,0,1,0
314,0,0,0,0,0,1
315,0,0,0,0,1,0
316,0,0,0,0,0,1
317,0,0,0,0,1,0
318,0,0,1,0,0,1
319,0,1,0,0,1,0
320,1,0,0,0,0,1
641,1,0,0,0,1,0
642,0,1,0,0,0,1
643,0,0,1,0,1,0
644,0,0,0,0,0,1
645,0,0,0,0,1,0
646,0,0,0,0,1,0
647,0,0,0,0,0,1
648,0,0,0,0,1,0
649,0,0,0,0,0,1
650,0,0,0,0,1,0
651,0,0,0,0,0,1
652,0,0,0,0,1,0
653,0,0,0,0,0,1
654,0,0,0,0,1,0
655,0,0,0,0,0,1
656,0,0,0,0,1,0
657,0,0,0,0,0,1
658,0,0,1,0,1,0
659,0,1,0,0,0,1
660,1,0,0,0,1,0
661,1,0,0,0,1,0
662,0,1,0,0,0,1
663,0,0,1,0,1,0
664,0,0,0,0,0,1
665,0,0,0,0,1,0
666,0,0,0,0,0,1
667,0,0,0,0,1,0
668,0,0,0,0,0,1
669,0,0,0,0,1,0
670,0,0,0,0,0,1
671,0,0,0,0,1,0
672,0,0,0,0,0,1
673,0,0,0,0,1,0
674,0,0,0,0,0,1
675,0,0,0,0,1,0
676,0,0,0,0,1,0
677,0,0,0,0,0,1
678,0,0,1,0,1,0
679,0,1,0,0,0,1
680,1,0,0,0,1,0
681,1,0,0,0,0,1
682,0,1,0,0,1,0
683,0,0,1,0,0,1
684,0,0,0,0,1,0
685,0,0,0,0,0,1
686,0,0,0,0,1,0
687,0,0,0,0,0,1
688,0,0,0,0,1,0
689,0,0,0,0,0,1
690,0,0,0,0,1,0
691,0,0,0,0,1,0
692,0,0,0,0,0,1
693,0,0,0,0,1,0
694,0,0,0,0,0,1
695,0,0,0,0,1,0
696,0,0,0,0,0,1
697,0,0,0,0,1,0
698,0,0,1,0,0,1
699,0,1,0,0,1,0
700,1,0,0,0,0,1
701,1,0,0,0,1,0
702,0,1,0,0,0,1
703,0,0,1,0,1,0
704,0,0,0,0,0,1
705,0,0,0,0,1,0
706,0,0,0,0,1,0
707,0,0,0,0,0,1
708,0,0,0,0,1,0
709,0,0,0,0,0,1
710,0,0,0,0,1,0
711,0,0,0,0,0,1
712,0,0,0,0,1,0
713,0,0,0,0,0,1
714,0,0,0,0,1,0
715,0,0,0,0,0,1
716,0,0,0,0,1,0
717,0,0,0,0,0,1
718,0,0,1,0,1,0
719,0,1,0,0,0,1
720,1,0,0,0,1,0
721,1,0,0,0,1,0
722,0,1,0,0,0,1
723,0,0,1,0,1,0
724,0,0,0,0,0,1
725,0,0,0,0,1,0
726,0,0,0,0,0,1
727,0,0,0,0,1,0
728,0,0,0,0,0,1
729,0,0,0,0,1,0
730,0,0,0,0,0,1
731,0,0,0,0,1,0
732,0,0,0,0,0,1
733,0,0,0,0,1,0
734,0,0,0,0,0,1
735,0,0,0,0,1,0
736,0,0,0,0,1,0
737,0,0,0,0,0,1
738,0,0,1,0,1,0
739,0,1,0,0,0,1
740,1,0,0,0,1,0
741,1,0,0,0,0,1
742,0,1,0,0,1,0
743,0,0,1,0,0,1
744,0,0,0,0,1,0
745,0,0,0,0,0,1
746,0,0,0,0,1,0
747,0,0,0,0,0,1
748,0,0,0,0,1,0
749,0,0,0,0,0,1
750,0,0,0,0,1,0
751,0,0,0,0,1,0
752,0,0,0,0,0,1
753,0,0,0,0,1,0
754,0,0,0,0,0,1
755,0,0,0,0,1,0
756,0,0,0,0,0,1
757,0,0,0,0,1,0
758,0,0,1,0,0,1
759,0,1,0,0,1,0
760,1,0,0,0,0,1
761,1,0,0,0,1,0
762,0,1,0,0,0,1
763,0,0,1,0,1,0
764,0,0,0,0,0,1
765,0,0,0,0,1,0
766,0,0,0,0,1,0
767,0,0,0,0,0,1
768,0,0,0,0,1,0
769,0,0,0,0,0,1
770,0,0,0,0,1,0
771,0,0,0,0,0,1
772,0,0,0,0,1,0
773,0,0,0,0,0,1
774,0,0,0,0,1,0
775,0,0,0,0,0,1
776,0,0,0,0,1,0
777,0,0,0,0,0,1
778,0,0,1,0,1,0
779,0,1,0,0,0,1
780,1,0,0,0,1,0
781,1,0,0,0,1,0
782,0,1,0,0,0,1
783,0,0,1,0,1,0
784,0,0,0,0,0,1
785,0,0,0,0,1,0
786,0,0,0,0,0,1
787,0,0,0,0,1,0
788,0,0,0,0,0,1
789,0,0,0,0,1,0
790,0,0,0,0,0,1
791,0,0,0,0,1,0
792,0,0,0,0,0,1
793,0,0,0,0,1,0
794,0,0,0,0,0,1
795,0,0,0,0,1,0
796,0,0,0,0,1,0
797,0,0,0,0,0,1
798,0,0,1,0,1,0
799,0,1,0,0,0,1
800,1,0,0,0,1,0
841,1,0,0,0,0,1
842,0,1,0,0,1,0
843,0,0,1,0,0,1
844,0,0,0,0,1,0
845,0,0,0,0,0,1
846,0,0,0,0,1,0
847,0,0,0,0,0,1
848,0,0,0,0,1,0
849,0,0,0,0,0,1
850,0,0,0,0,1,0
851,0,0,0,0,1,0
852,0,0,0,0,0,1
853,0,0,0,0,1,0
854,0,0,0,0,0,1
855,0,0,0,0,1,0
856,0,0,0,0,0,1
857,0,0,0,0,1,0
858,0,0,1,0,0,1
859,0,1,0,0,1,0
860,1,0,0,0,0,1
861,1,0,0,0,1,0
862,0,1,0,0,0,1
863,0,0,1,0,1,0
864,0,0,0,0,0,1
865,0,0,0,0,1,0
866,0,0,0,0,1,0
867,0,0,0,0,0,1
868,0,0,0,0,1,0
869,0,0,0,0,0,1
870,0,0,0,0,1,0
871,0,0,0,0,0,1
872,0,0,0,0,1,0
873,0,0,0,0,0,1
874,0,0,0,0,1,0
875,0,0,0,0,0,1
876,0,0,0,0,1,0
877,0,0,0,0,0,1
878,0,0,1,0,1,0
879,0,1,0,0,0,1
880,1,0,0,0,1,0
881,1,0,0,0,1,0
882,0,1,0,0,0,1
883,0,0,1,0,1,0
884,0,0,0,0,0,1
885,0,0,0,0,1,0
886,0,0,0,0,0,1
887,0,0,0,0,1,0
888,0,0,0,0,0,1
889,0,0,0,0,1,0
890,0,0,0,0,0,1
891,0,0,0,0,1,0
892,0,0,0,0,0,1
893,0,0,0,0,1,0
894,0,0,0,0,0,1
895,0,0,0,0,1,0
896,0,0,0,0,1,0
897,0,0,0,0,0,1
898,0,0,1,0,1,0
899,0,1,0,0,0,1
900,1,0,0,0,1,0
901,1,0,0,0,0,1
902,0,1,0,0,1,0
903,0,0,1,0,0,1
904,0,0,0,0,1,0
905,0,0,0,0,0,1
906,0,0,0,0,1,0
907,0,0,0,0,0,1
908,0,0,0,0,1,0
909,0,0,0,0,0,1
910,0,0,0,0,1,0
911,0,0,0,0,1,0
912,0,0,0,0,0,1
913,0,0,0,0,1,0
914,0,0,0,0,0,1
915,0,0,0,0,1,0
916,0,0,0,0,0,1
917,0,0,0,0,1,0
918,0,0,1,0,0,1
919,0,1,0,0,1,0
920,1,0,0,0,0,1
921,1,0,0,0,1,0
922,0,1,0,0,0,1
923,0,0,1,0,1,0
924,0,0,0,0,0,1
925,0,0,0,0,1,0
926,0,0,0,0,1,0
927,0,0,0,0,0,1
928,0,0,0,0,1,0
929,0,0,0,0,0,1
930,0,0,0,0,1,0
931,0,0,0,0,0,1
932,0,0,0,0,1,0
933,0,0,0,0,0,1
934,0,0,0,0,1,0
935,0,0,0,0,0,1
936,0,0,0,0,1,0
937,0,0,0,0,0,1
938,0,0,1,0,1,0
939,0,1,0,0,0,1
940,1,0,0,0,1,0
941,1,0,0,0,1,0
942,0,1,0,0,0,1
943,0,0,1,0,1,0
944,0,1,0,0,0,1
945,1,0,0,0,1,0
946,1,0,0,0,0,1
947,0,1,0,0,1,0
948,0,1,0,0,0,1
949,1,0,0,0,1,0
950,1,0,0,0,0,1
951,0,1,0,0,1,0
952,0,1,0,0,0,1
953,1,0,0,0,1,0
954,1,0,0,0,0,1
955,0,1,0,0,1,0
956,0,0,1,0,1,0
957,0,1,0,0,0,1
958,1,0,0,0,1,0
959,1,0,0,0,0,1
960,0,1,0,0,1,0
961,0,1,0,0,0,1
962,1,0,0,0,1,0
963,1,0,0,0,0,1
964,0,1,0,0,1,0
965,0,0,1,0,0,1
966,0,1,0,0,1,0
967,1,0,0,0,0,1
968,1,0,0,0,1,0
969,0,1,0,0,0,1
970,0,0,1,0,1,0
971,0,1,0,0,1,0
972,1,0,0,0,0,1
973,1,0,0,0,1,0
974,0,1,0,0,0,1
975,0,1,0,0,1,0
976,1,0,0,0,0,1
977,1,0,0,0,1,0
978,0,1,0,0,0,1
979,0,0,1,0,1,0
980,0,1,0,0,0,1
981,1,0,0,0,1,0
982,1,0,0,0,0,1
983,0,1,0,0,1,0
984,0,0,1,0,0,1
985,0,1,0,0,1,0
986,1,0,0,0,1,0
987,1,0,0,0,0,1
988,0,1,0,0,1,0
989,0,0,1,0,0,1
990,0,0,0,0,1,0
991,0,0,0,0,0,1
992,0,0,1,0,1,0
993,0,1,0,0,0,1
994,1,0,0,0,1,0
995,1,0,0,0,0,1
996,0,1,0,0,1,0
997,0,0,1,0,0,1
998,0,0,0,0,1,0
999,0,0,0,0,0,1
1000,0,0,1,0,1,0
1001,0,1,0,0,1,0
1002,1,0,0,0,0,1
1003,1,0,0,0,1,0
1004,0,1,0,0,0,1
1005,0,0,1,0,1,0
1006,0,1,0,0,0,1
1007,1,0,0,0,1,0
1008,1,0,0,0,0,1
1009,0,1,0,0,1,0
1010,0,0,1,0,0,1
1011,0,0,0,0,1,0
1012,0,0,0,0,0,1
1013,0,0,0,0,1,0
1014,0,0,0,0,0,1
1015,0,0,1,0,1,0
1016,0,1,0,0,1,0
1017,1,0,0,0,0,1
1018,0,0,0,1,1,0
1019,0,0,0,1,0,1
1020,0,0,0,1,1,0
1021,0,0,0,1,0,1
1022,0,0,0,1,1,0
1023,0,0,0,1,0,1
1024,0,0,0,1,1,0
1025,0,0,0,1,0,1
1026,0,0,0,1,1,0
1027,0,0,0,1,0,1
1028,1,0,0,0,1,0
1029,0,1,0,0,0,1
1030,0,1,0,0,1,0
1031,1,0,0,0,1,0
1032,1,0,0,0,0,1
1033,0,1,0,0,1,0
1034,0,0,1,0,0,1
1035,0,0,0,0,1,0
1036,0,0,0,0,0,1
1037,0,0,0,0,1,0
1038,0,0,0,0,0,1
1039,0,0,1,0,1,0
1040,0,1,0,0,0,1
1041,1,0,0,0,1,0
